#FIELD_NAME|DataType|description
ADDRESS|MultilineString|the contacted station's complete mailing address: full name, street address, city, postal code, and country
ADDRESS_INTL|IntlMultilineString|the contacted station's complete mailing address: full name, street address, city, postal code, and country
AGE|Number|the contacted station's operator's age in years in the range 0 to 120 (inclusive)
ALTITUDE|Number|the height of the contacted station in meters relative to Mean Sea Level (MSL).
ANT_AZ|Number|the logging station's antenna azimuth, in degrees with a value between 0 to 360 (inclusive).
ANT_EL|Number|the logging station's antenna elevation, in degrees with a value between -90 to 90 (inclusive).
ANT_PATH|AntPathEnumeration|the signal path
ARRL_SECT|ArrlSectionEnumeration|the contacted station's ARRL section
#AWARD_SUBMITTED|SponsoredAwardList|the list of awards submitted to a sponsor.
#AWARD_GRANTED|SponsoredAwardList|the list of awards granted by a sponsor.
A_INDEX|Number|the geomagnetic A index at the time of the QSO in the range 0 to 400 (inclusive)
BAND|BandEnumeration|QSO Band
BAND_RX|BandEnumeration|in a split frequency QSO, the logging station's receiving band
CALL|String|the contacted station's callsign
CHECK|String|contest check (e.g. for ARRL Sweepstakes)
CLASS|String|contest class (e.g. for ARRL Field Day)
CLUBLOG_QSO_UPLOAD_DATE|Date|the date the QSO was last uploaded to the Club Log online service
CLUBLOG_QSO_UPLOAD_STATUS|QsoUploadStatusEnumeration|the upload status of the QSO on the Club Log online service
#CNTY|SecondaryAdministrativeSubdivisionEnumeration|the contacted station's Secondary Administrative Subdivision (e.g. US county, JA Gun), in the specified format
#CNTY_ALT|SecondaryAdministrativeSubdivisionListAlt|a semicolon (;) delimited, unordered list of Secondary Administrative Subdivision Alt codes for the contacted station
COMMENT|String|comment field for QSO
COMMENT_INTL|IntlString|comment field for QSO
CONT|ContinentEnumeration|the contacted station's Continent
CONTACTED_OP|String|the callsign of the individual operating the contacted station
CONTEST_ID|String|QSO Contest Identifier
COUNTRY|String|the contacted station's DXCC entity name
COUNTRY_INTL|IntlString|the contacted station's DXCC entity name
CQZ|PositiveInteger|the contacted station's CQ Zone in the range 1 to 40 (inclusive)
CREDIT_SUBMITTED|CreditList|the list of credits sought for this QSO
CREDIT_GRANTED|CreditList|the list of credits granted to this QSO
#DARC_DOK|DARC DOKEnumeration|the contacted station's DARC DOK (District Location Code)
DCL_QSLRDATE|Date|date QSL received from DCL
DCL_QSLSDATE|Date|date QSL sent to DCL
DCL_QSL_RCVD|QslRcvdEnumeration|DCL QSL received status
DCL_QSL_SENT|QslSentEnumeration|DCL QSL sent status
DISTANCE|Number|the distance between the logging station and the contacted station in kilometers via the specified signal path with a value greater than or equal to 0
DXCC|DxccEntityCodeEnumeration|the contacted station's DXCC Entity Code
EMAIL|String|the contacted station's email address
EQ_CALL|String|the contacted station's owner's callsign
EQSL_QSLRDATE|Date|date QSL received from eQSL.cc
EQSL_QSLSDATE|Date|date QSL sent to eQSL.cc
EQSL_QSL_RCVD|QslRcvdEnumeration|eQSL.cc QSL received status
EQSL_QSL_SENT|QslSentEnumeration|eQSL.cc QSL sent status
FISTS|PositiveInteger|the contacted station's FISTS CW Club member number with a value greater than 0.
FISTS_CC|PositiveInteger|the contacted station's FISTS CW Club Century Certificate (CC) number with a value greater than 0.
FORCE_INIT|Boolean|new EME "initial"
FREQ|Number|QSO frequency in Megahertz
FREQ_RX|Number|in a split frequency QSO, the logging station's receiving frequency in Megahertz
GRIDSQUARE|GridSquare|the contacted station's 2-character, 4-character, 6-character, or 8-character Maidenhead Grid Square
GRIDSQUARE_EXT|GridSquareExt|for a contacted station's 10-character Maidenhead locator, supplements the GRIDSQUARE field by containing characters 9 and 10.
GUEST_OP|String|import-only: use OPERATOR instead
HAMLOGEU_QSO_UPLOAD_DATE|Date|the date the QSO was last uploaded to the HAMLOG.EU online service
HAMLOGEU_QSO_UPLOAD_STATUS|QsoUploadStatusEnumeration|the upload status of the QSO on the HAMLOG.EU online service
HAMQTH_QSO_UPLOAD_DATE|Date|the date the QSO was last uploaded to the HamQTH.com online service
HAMQTH_QSO_UPLOAD_STATUS|QsoUploadStatusEnumeration|the upload status of the QSO on the HamQTH.com online service
HRDLOG_QSO_UPLOAD_DATE|Date|the date the QSO was last uploaded to the HRDLog.net online service
